material_id,formula,band_gap,formation_energy_per_atom,energy_above_hull,volume,density,nsites,elements,cbm,vbm,crystal_system,spacegroup,is_stable,cif_path
mp-1032012,Mg6TiZnO8,0.0415,-2.753501077708333,0.19761937828125,159.63953607182148,4.026550572275198,16,"['Mg', 'O', 'Ti', 'Zn']",8.396,8.3545,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1032012.cif
mp-1032960,CaMg6TiO8,0.045299999999999,-2.885995127083332,0.16948370937499901,168.4620104744575,3.565988251830696,16,"['Ca', 'Mg', 'O', 'Ti']",8.2586,8.2133,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1032960.cif
mp-1032964,CaMg6TiO8,0.124199999999999,-2.9095582820833332,0.145920554374999,166.6542936291532,3.604668905611728,16,"['Ca', 'Mg', 'O', 'Ti']",8.0338,7.9096,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1032964.cif
mp-1034067,Mg14TiCrO16,0.09539999999999901,-2.8900997666666672,0.104615046328124,316.59819574365036,3.651127146233929,32,"['Cr', 'Mg', 'O', 'Ti']",8.4668,8.3714,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1034067.cif
mp-1034035,Mg14TiCdO16,0.41290000000000004,-2.844468488229166,0.15024632476562502,322.07681733017426,3.900502926589751,32,"['Cd', 'Mg', 'O', 'Ti']",8.8114,8.3985,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1034035.cif
mp-1033996,HfMg14TiO16,0.019599999999998,-2.866696489166666,0.171284853919272,323.0547805894083,4.228348910586294,32,"['Hf', 'Mg', 'O', 'Ti']",9.1162,9.0966,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1033996.cif
mp-1034137,SrMg14TiO16,0.17569999999999902,-2.894062314791666,0.143451763031252,332.4274226776392,3.655219340196479,32,"['Mg', 'O', 'Sr', 'Ti']",8.4926,8.3169,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1034137.cif
mp-1034187,LiMg14TiO16,0.08619999999999901,-2.998424067395833,0.03251607484375,309.10221685781505,3.49762782104557,32,"['Li', 'Mg', 'O', 'Ti']",7.12,7.0338,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1034187.cif
mp-1034083,NaMg14TiO16,0.12399999999999901,-2.9579809367097702,0.04940576280771,302.9300518448933,3.656864397713335,32,"['Mg', 'Na', 'O', 'Ti']",7.2062,7.0822,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1034083.cif
mp-1034141,Mg14TiNbO16,0.13870000000000002,-2.826703976354166,0.16801083664062502,319.5149364553424,3.830410555047483,32,"['Mg', 'Nb', 'O', 'Ti']",8.8657,8.727,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1034141.cif
mp-1034178,KMg14TiO16,0.001099999999999,-2.858181493768229,0.15008640453125002,327.011770555316,3.46936431134738,32,"['K', 'Mg', 'O', 'Ti']",6.7456,6.7445,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1034178.cif
mp-1034194,Mg14TiSiO16,0.1363,-2.813554781979166,0.197594250121528,318.49646070989513,3.504703879705623,32,"['Mg', 'O', 'Si', 'Ti']",8.558,8.4217,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1034194.cif
mp-1034443,Mg14TiVO16,0.137500000000001,-2.913083967916667,0.081630845078125,313.9170021097358,3.676733195945912,32,"['Mg', 'O', 'Ti', 'V']",8.7178,8.5803,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1034443.cif
mp-1034882,Mg14TiZnO16,0.136799999999999,-2.892115456041666,0.10259935695312501,313.76956955815746,3.755026062705361,32,"['Mg', 'O', 'Ti', 'Zn']",8.6778,8.541,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1034882.cif
mp-1034875,Mg14TiNiO16,0.1179,-2.865297748854166,0.129417064140625,311.24896822736673,3.749607273771038,32,"['Mg', 'Ni', 'O', 'Ti']",7.815,7.6971,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1034875.cif
mp-1035096,Mg14TiCoO16,0.06570000000000001,-2.878121877291667,0.11659293570312501,312.1369576287433,3.740215811205287,32,"['Co', 'Mg', 'O', 'Ti']",7.3093,7.2436,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1035096.cif
